clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_10_29_signer_READY_1,GREAT WHAT PT_DEM3 OK GOOD RIGHT OKAY WHERE YES,GREAT(0.81) WHAT(0.70) PT_DEM3(0.68) OK(0.64) GOOD(0.56) RIGHT(0.55) OKAY(0.54) WHERE(0.50) YES(0.46),READY,False
video_10_95_signer_READY_1,GREAT OKAY LOOK RIGHT PT_DEM3 OK PT_LOC WHAT YES NS_SALLY,GREAT(0.76) OKAY(0.69) LOOK(0.65) RIGHT(0.57) PT_DEM3(0.55) OK(0.55) PT_LOC(0.54) WHAT(0.52) YES(0.50) NS_SALLY(0.46),READY,False
video_11_70_signer_READY_1,GREAT PT_DEM3 WHAT GOOD PT_PRO1PL RIGHT NOW,GREAT(0.79) PT_DEM3(0.61) WHAT(0.54) GOOD(0.52) PT_PRO1PL(0.49) RIGHT(0.47) NOW(0.45),READY,False
video_1_91_signer_KNOW_1,YES RIGHT HELLO BYE NS_POSSUM OKAY GO,YES(0.72) RIGHT(0.68) HELLO(0.64) BYE(0.62) NS_POSSUM(0.57) OKAY(0.49) GO(0.47),KNOW,False
video_2_69_signer_KNOW_1,SEE PT_PRO1PL KNOW YES WATCH CAN GO PT_PRO2,SEE(0.55) PT_PRO1PL(0.54) KNOW(0.53) YES(0.53) WATCH(0.51) CAN(0.50) GO(0.47) PT_PRO2(0.46),KNOW,False
video_3_118_signer_KNOW_1,YES WATCH KNOW LOOK SEE GREAT PT_PRO1PL BYE,YES(0.65) WATCH(0.58) KNOW(0.54) LOOK(0.51) SEE(0.50) GREAT(0.50) PT_PRO1PL(0.50) BYE(0.45),KNOW,False
video_7_28_signer_KNOW_1,YES KNOW RIGHT WATCH NS_POSSUM,YES(0.65) KNOW(0.57) RIGHT(0.55) WATCH(0.46) NS_POSSUM(0.46),KNOW,False
video_7_84_signer_KNOW_1,WHAT YES GREAT HAVE SEE NO PT_DEM3 NS_POSSUM KNOW PT_PRO2 RIGHT PT_PRO1,WHAT(0.67) YES(0.62) GREAT(0.57) HAVE(0.56) SEE(0.56) NO(0.55) PT_DEM3(0.55) NS_POSSUM(0.54) KNOW(0.53) PT_PRO2(0.51) RIGHT(0.48) PT_PRO1(0.47),KNOW,False
video_8_30_signer_KNOW_1,BYE HELLO RIGHT,BYE(0.90) HELLO(0.78) RIGHT(0.71),KNOW,False
video_10_51_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.98) EVERYONE(0.95),KNOW,False
video_10_119_signer_KNOW_1,BYE YES RIGHT WATCH OKAY LOOK HELLO,BYE(0.77) YES(0.75) RIGHT(0.69) WATCH(0.68) OKAY(0.55) LOOK(0.48) HELLO(0.45),KNOW,False
video_11_77_signer_KNOW_1,BYE HELLO RIGHT EVERYONE,BYE(0.90) HELLO(0.64) RIGHT(0.60) EVERYONE(0.55),KNOW,False
video_12_20_signer_KNOW_1,NS_POSSUM YES RIGHT PT_PRO2,NS_POSSUM(0.65) YES(0.60) RIGHT(0.48) PT_PRO2(0.46),KNOW,False
video_12_53_signer_KNOW_1,RIGHT HELLO YES NS_POSSUM,RIGHT(0.69) HELLO(0.62) YES(0.60) NS_POSSUM(0.58),KNOW,False
video_12_91_signer_KNOW_1,YES NS_POSSUM GREAT PT_PRO2 NO RIGHT WHAT SEE PT_DEM3,YES(0.71) NS_POSSUM(0.62) GREAT(0.56) PT_PRO2(0.56) NO(0.56) RIGHT(0.54) WHAT(0.52) SEE(0.50) PT_DEM3(0.48),KNOW,False
video_13_23_signer_KNOW_1,BYE HELLO RIGHT,BYE(0.90) HELLO(0.81) RIGHT(0.77),KNOW,False
video_14_80_signer_KNOW_1,RIGHT HELLO NS_POSSUM YES BYE,RIGHT(0.70) HELLO(0.68) NS_POSSUM(0.62) YES(0.62) BYE(0.58),KNOW,False
video_15_74_signer_KNOW_1,HELLO EVERYONE BYE NS_POSSUM,HELLO(0.89) EVERYONE(0.82) BYE(0.74) NS_POSSUM(0.47),KNOW,False
video_15_84_signer_KNOW_1,BYE HELLO RIGHT NS_POSSUM OKAY YES,BYE(0.87) HELLO(0.82) RIGHT(0.75) NS_POSSUM(0.73) OKAY(0.45) YES(0.45),KNOW,False
video_16_15_signer_KNOW_1,YES KNOW SEE PT_PRO3 PT_PRO2 NS_POSSUM PT_DEM3 RIGHT LOOK HAVE WATCH WHAT,YES(0.69) KNOW(0.56) SEE(0.55) PT_PRO3(0.53) PT_PRO2(0.52) NS_POSSUM(0.52) PT_DEM3(0.51) RIGHT(0.49) LOOK(0.49) HAVE(0.46) WATCH(0.45) WHAT(0.45),KNOW,False
video_16_37_signer_KNOW_1,CAN PT_PRO2 PT_POSS2 GO SEE PT_PRO3 PT_DEM3 PT_LOC PT_PRO1 GET WANT PT_PRO1PL NOW LOOK,CAN(0.72) PT_PRO2(0.69) PT_POSS2(0.66) GO(0.64) SEE(0.57) PT_PRO3(0.52) PT_DEM3(0.52) PT_LOC(0.49) PT_PRO1(0.49) GET(0.49) WANT(0.49) PT_PRO1PL(0.49) NOW(0.48) LOOK(0.47),KNOW,False
video_17_33_signer_KNOW_1,BYE RIGHT HELLO YES NS_POSSUM,BYE(0.82) RIGHT(0.79) HELLO(0.77) YES(0.63) NS_POSSUM(0.47),KNOW,False
video_19_24_signer_KNOW_1,WATCH PT_PRO1PL KNOW YES GO,WATCH(0.79) PT_PRO1PL(0.64) KNOW(0.53) YES(0.49) GO(0.45),KNOW,False
video_19_65_signer_KNOW_1,LOOK,LOOK(1.00),KNOW,False
video_19_82_signer_KNOW_1,WATCH YES RIGHT LOOK OKAY,WATCH(0.84) YES(0.84) RIGHT(0.74) LOOK(0.53) OKAY(0.48),KNOW,False
video_20_45_signer_KNOW_1,LOOK KNOW YES NO NS_SALLY GREAT PT_PRO1 PT_DEM3 HAVE NS_POSSUM VERY PT_PRO3,LOOK(0.67) KNOW(0.65) YES(0.64) NO(0.64) NS_SALLY(0.64) GREAT(0.60) PT_PRO1(0.57) PT_DEM3(0.56) HAVE(0.56) NS_POSSUM(0.50) VERY(0.47) PT_PRO3(0.45),KNOW,False
video_20_77_signer_KNOW_1,YES RIGHT NS_POSSUM GREAT HELLO NO PT_DEM3,YES(0.78) RIGHT(0.74) NS_POSSUM(0.63) GREAT(0.54) HELLO(0.50) NO(0.48) PT_DEM3(0.47),KNOW,False
video_20_121_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.95) EVERYONE(0.75),KNOW,False
video_21_117_signer_KNOW_1,HELLO NS_POSSUM RIGHT YES LOOK,HELLO(0.75) NS_POSSUM(0.74) RIGHT(0.62) YES(0.59) LOOK(0.51),KNOW,False
video_21_151_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.89) HELLO(0.89),KNOW,False
video_22_15_signer_KNOW_1,BYE HELLO NS_POSSUM RIGHT,BYE(0.69) HELLO(0.64) NS_POSSUM(0.54) RIGHT(0.47),KNOW,False
video_22_47_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.94) HELLO(0.80) EVERYONE(0.54),KNOW,False
video_22_75_signer_KNOW_1,YES BYE RIGHT LOOK SEE PT_DEM3 GREAT HELLO OKAY,YES(0.72) BYE(0.63) RIGHT(0.57) LOOK(0.52) SEE(0.51) PT_DEM3(0.49) GREAT(0.49) HELLO(0.48) OKAY(0.47),KNOW,False
video_22_88_signer_KNOW_1,BYE OKAY GO RIGHT HELLO OK,BYE(0.83) OKAY(0.55) GO(0.50) RIGHT(0.49) HELLO(0.48) OK(0.47),KNOW,False
video_22_89_signer_KNOW_1,YES RIGHT BYE NS_POSSUM HELLO LOOK PT_DEM3 PT_PRO2,YES(0.63) RIGHT(0.59) BYE(0.56) NS_POSSUM(0.53) HELLO(0.52) LOOK(0.47) PT_DEM3(0.47) PT_PRO2(0.47),KNOW,False
video_22_96_signer_KNOW_1,WATCH YES RIGHT BYE,WATCH(0.89) YES(0.75) RIGHT(0.67) BYE(0.56),KNOW,False
video_22_111_signer_KNOW_1,WATCH YES KNOW PT_PRO1PL GREAT OKAY,WATCH(0.92) YES(0.73) KNOW(0.69) PT_PRO1PL(0.56) GREAT(0.54) OKAY(0.49),KNOW,False
video_22_113_signer_KNOW_1,BYE RIGHT HELLO,BYE(0.95) RIGHT(0.67) HELLO(0.66),KNOW,False
video_22_126_signer_KNOW_1,BYE HELLO EVERYONE RIGHT,BYE(0.91) HELLO(0.71) EVERYONE(0.59) RIGHT(0.54),KNOW,False
video_22_152_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.78) EVERYONE(0.65),KNOW,False
video_22_159_signer_KNOW_1,BYE HELLO OKAY,BYE(0.87) HELLO(0.48) OKAY(0.47),KNOW,False
video_23_30_signer_KNOW_1,WATCH PT_PRO1PL BYE KNOW,WATCH(0.73) PT_PRO1PL(0.57) BYE(0.55) KNOW(0.49),KNOW,False
video_23_34_signer_KNOW_1,HELLO RIGHT BYE NS_POSSUM YES,HELLO(0.77) RIGHT(0.75) BYE(0.71) NS_POSSUM(0.61) YES(0.52),KNOW,False
video_23_91_signer_KNOW_1,YES RIGHT GREAT NS_POSSUM WATCH PT_DEM3,YES(0.84) RIGHT(0.76) GREAT(0.59) NS_POSSUM(0.56) WATCH(0.48) PT_DEM3(0.45),KNOW,False
video_23_144_signer_KNOW_1,YES GREAT RIGHT WATCH OKAY LOOK OK KNOW,YES(0.81) GREAT(0.73) RIGHT(0.62) WATCH(0.61) OKAY(0.59) LOOK(0.55) OK(0.51) KNOW(0.51),KNOW,False
video_24_73_signer_KNOW_1,BYE HELLO,BYE(0.97) HELLO(0.87),KNOW,False
video_24_82_signer_KNOW_1,BYE RIGHT HELLO EVERYONE WATCH YES,BYE(0.73) RIGHT(0.69) HELLO(0.68) EVERYONE(0.54) WATCH(0.52) YES(0.47),KNOW,False
video_24_150_signer_KNOW_1,BYE HELLO,BYE(0.98) HELLO(0.46),KNOW,False
video_25_111_signer_KNOW_1,PT_PRO2 CAN SEE PT_PRO3 NS_POSSUM GO WANT NOW HAVE PT_PRO1PL PT_PRO1 THINK KNOW PT_DEM3 PT_LOC YES DO WHAT GET,PT_PRO2(0.70) CAN(0.66) SEE(0.64) PT_PRO3(0.64) NS_POSSUM(0.62) GO(0.61) WANT(0.57) NOW(0.55) HAVE(0.53) PT_PRO1PL(0.53) PT_PRO1(0.52) THINK(0.52) KNOW(0.51) PT_DEM3(0.51) PT_LOC(0.50) YES(0.48) DO(0.48) WHAT(0.46) GET(0.46),KNOW,False
video_26_20_signer_KNOW_1,GREAT OKAY YES WHAT OK PT_DEM3 RIGHT WHERE NS_SALLY,GREAT(0.67) OKAY(0.65) YES(0.63) WHAT(0.62) OK(0.59) PT_DEM3(0.57) RIGHT(0.56) WHERE(0.55) NS_SALLY(0.53),KNOW,False
video_26_25_signer_KNOW_1,OKAY LOOK YES RIGHT NS_SALLY,OKAY(0.56) LOOK(0.52) YES(0.51) RIGHT(0.51) NS_SALLY(0.49),KNOW,False
video_26_36_signer_KNOW_1,RIGHT YES NS_POSSUM,RIGHT(0.64) YES(0.63) NS_POSSUM(0.54),KNOW,False
video_27_21_signer_KNOW_1,KNOW YES WATCH GO PT_PRO1 SEE GREAT HAVE PT_PRO2 PT_PRO3 WHAT,KNOW(0.68) YES(0.63) WATCH(0.52) GO(0.50) PT_PRO1(0.49) SEE(0.49) GREAT(0.46) HAVE(0.46) PT_PRO2(0.46) PT_PRO3(0.45) WHAT(0.45),KNOW,False
video_28_76_signer_KNOW_1,YES KNOW WATCH RIGHT,YES(0.70) KNOW(0.62) WATCH(0.54) RIGHT(0.53),KNOW,False
video_28_115_signer_KNOW_1,BYE HELLO,BYE(0.99) HELLO(0.77),KNOW,False
video_30_17_signer_KNOW_1,YES WATCH RIGHT OKAY KNOW,YES(0.81) WATCH(0.70) RIGHT(0.62) OKAY(0.55) KNOW(0.47),KNOW,False
video_1_47_signer_YES_1,YES GREAT LOOK RIGHT PT_DEM3 OKAY WHAT NS_SALLY OK,YES(0.79) GREAT(0.73) LOOK(0.72) RIGHT(0.65) PT_DEM3(0.64) OKAY(0.63) WHAT(0.61) NS_SALLY(0.53) OK(0.53),YES,False
video_1_54_signer_YES_1,GREAT GOOD RIGHT YES PT_DEM3 NO WHAT,GREAT(0.86) GOOD(0.66) RIGHT(0.62) YES(0.60) PT_DEM3(0.55) NO(0.53) WHAT(0.52),YES,False
video_1_77_signer_YES_1,YES RIGHT GREAT NS_POSSUM NO PT_DEM3 LOOK,YES(0.83) RIGHT(0.73) GREAT(0.72) NS_POSSUM(0.66) NO(0.60) PT_DEM3(0.52) LOOK(0.51),YES,False
video_2_71_signer_YES_1,GREAT OKAY OK YES RIGHT WATCH,GREAT(0.96) OKAY(0.94) OK(0.92) YES(0.89) RIGHT(0.83) WATCH(0.70),YES,False
video_2_80_signer_YES_1,GREAT YES RIGHT WHAT PT_DEM3 OK OKAY WHERE NS_POSSUM,GREAT(0.74) YES(0.69) RIGHT(0.67) WHAT(0.65) PT_DEM3(0.65) OK(0.53) OKAY(0.51) WHERE(0.49) NS_POSSUM(0.46),YES,False
video_2_100_signer_YES_1,YES GREAT RIGHT PT_DEM3 LOOK NO WHAT GOOD OKAY,YES(0.86) GREAT(0.85) RIGHT(0.77) PT_DEM3(0.64) LOOK(0.64) NO(0.60) WHAT(0.55) GOOD(0.55) OKAY(0.48),YES,False
video_2_118_signer_YES_1,NS_POSSUM THINK PT_PRO2 KNOW GO PT_PRO3 YES PT_PRO1 WHAT HAVE NO CAN NOT VERY PT_DEM3 SEE WANT LOOK BUT PT_POSS2,NS_POSSUM(0.77) THINK(0.70) PT_PRO2(0.67) KNOW(0.66) GO(0.65) PT_PRO3(0.64) YES(0.63) PT_PRO1(0.62) WHAT(0.60) HAVE(0.60) NO(0.58) CAN(0.54) NOT(0.52) VERY(0.52) PT_DEM3(0.51) SEE(0.50) WANT(0.50) LOOK(0.49) BUT(0.47) PT_POSS2(0.45),YES,False
video_2_126_signer_YES_1,GREAT LOOK NS_POSSUM HELLO NS_SALLY NO PT_LOC PT_DEM3 WHAT RIGHT YES HERE,GREAT(0.71) LOOK(0.65) NS_POSSUM(0.61) HELLO(0.60) NS_SALLY(0.60) NO(0.59) PT_LOC(0.58) PT_DEM3(0.58) WHAT(0.52) RIGHT(0.51) YES(0.49) HERE(0.46),YES,False
video_3_66_signer_YES_1,BYE RIGHT PT_LOC YES OKAY WHAT PT_DEM3 GREAT LOOK PT_PRO2 NS_POSSUM OK,BYE(0.61) RIGHT(0.59) PT_LOC(0.59) YES(0.58) OKAY(0.58) WHAT(0.56) PT_DEM3(0.56) GREAT(0.55) LOOK(0.53) PT_PRO2(0.53) NS_POSSUM(0.51) OK(0.47),YES,False
video_3_70_signer_YES_1,YES GREAT RIGHT OK OKAY PT_DEM3 LOOK WHAT GOOD,YES(0.82) GREAT(0.80) RIGHT(0.72) OK(0.65) OKAY(0.62) PT_DEM3(0.57) LOOK(0.51) WHAT(0.51) GOOD(0.46),YES,False
video_3_82_signer_YES_1,GREAT PT_DEM3 WHAT NOW RIGHT OK,GREAT(0.70) PT_DEM3(0.67) WHAT(0.60) NOW(0.56) RIGHT(0.52) OK(0.51),YES,False
video_4_8_signer_YES_1,GREAT RIGHT PT_DEM3 WHAT YES OK OKAY,GREAT(0.76) RIGHT(0.68) PT_DEM3(0.67) WHAT(0.66) YES(0.64) OK(0.61) OKAY(0.57),YES,False
video_4_49_signer_YES_1,YES OKAY WATCH GREAT BYE OK RIGHT LOOK PT_PRO1PL GO,YES(0.78) OKAY(0.76) WATCH(0.75) GREAT(0.61) BYE(0.58) OK(0.57) RIGHT(0.52) LOOK(0.49) PT_PRO1PL(0.47) GO(0.46),YES,False
video_4_53_signer_YES_1,HELLO BYE NS_POSSUM EVERYONE RIGHT,HELLO(0.95) BYE(0.89) NS_POSSUM(0.71) EVERYONE(0.66) RIGHT(0.61),YES,False
video_4_82_signer_YES_1,YES RIGHT GREAT WHAT PT_DEM3 NS_POSSUM LOOK NO DO,YES(0.93) RIGHT(0.87) GREAT(0.76) WHAT(0.67) PT_DEM3(0.60) NS_POSSUM(0.60) LOOK(0.55) NO(0.53) DO(0.48),YES,False
video_4_84_signer_YES_1,GREAT OKAY YES LOOK OK RIGHT PT_DEM3 WHAT NS_SALLY,GREAT(0.87) OKAY(0.86) YES(0.81) LOOK(0.77) OK(0.71) RIGHT(0.69) PT_DEM3(0.61) WHAT(0.56) NS_SALLY(0.53),YES,False
video_4_95_signer_YES_1,BYE HELLO NS_SALLY OKAY LOOK,BYE(0.96) HELLO(0.84) NS_SALLY(0.70) OKAY(0.53) LOOK(0.51),YES,False
video_4_124_signer_YES_1,YES LOOK OKAY PT_PRO2 GO NS_POSSUM WHAT RIGHT,YES(0.60) LOOK(0.56) OKAY(0.56) PT_PRO2(0.55) GO(0.54) NS_POSSUM(0.53) WHAT(0.47) RIGHT(0.45),YES,False
video_5_35_signer_YES_1,GREAT YES RIGHT GOOD NO PT_DEM3 WHAT,GREAT(0.89) YES(0.74) RIGHT(0.73) GOOD(0.67) NO(0.64) PT_DEM3(0.56) WHAT(0.52),YES,False
video_5_62_signer_YES_1,GREAT OKAY OK YES RIGHT PT_DEM3 WHAT,GREAT(0.92) OKAY(0.86) OK(0.86) YES(0.83) RIGHT(0.78) PT_DEM3(0.64) WHAT(0.62),YES,False
video_5_81_signer_YES_1,YES RIGHT NS_POSSUM OKAY PT_DEM3,YES(0.78) RIGHT(0.76) NS_POSSUM(0.53) OKAY(0.46) PT_DEM3(0.46),YES,False
video_5_90_signer_YES_1,YES NO GREAT RIGHT WHAT PT_DEM3 NS_POSSUM GOOD,YES(0.81) NO(0.75) GREAT(0.73) RIGHT(0.72) WHAT(0.61) PT_DEM3(0.53) NS_POSSUM(0.52) GOOD(0.46),YES,False
video_5_93_signer_YES_1,GREAT OKAY OK PT_DEM3 WHAT RIGHT LOOK PT_LOC YES,GREAT(0.86) OKAY(0.80) OK(0.75) PT_DEM3(0.73) WHAT(0.71) RIGHT(0.67) LOOK(0.56) PT_LOC(0.48) YES(0.45),YES,False
video_5_126_signer_YES_1,GREAT OKAY OK RIGHT PT_DEM3 YES LOOK,GREAT(0.86) OKAY(0.84) OK(0.76) RIGHT(0.61) PT_DEM3(0.57) YES(0.52) LOOK(0.46),YES,False
video_5_128_signer_YES_1,GREAT YES RIGHT GOOD OK PT_DEM3 LOOK WHAT,GREAT(0.90) YES(0.79) RIGHT(0.78) GOOD(0.71) OK(0.57) PT_DEM3(0.55) LOOK(0.54) WHAT(0.47),YES,False
video_6_30_signer_YES_1,WHAT LOOK GREAT PT_DEM3 PT_LOC RIGHT OKAY NS_SALLY ONE YES OK,WHAT(0.68) LOOK(0.67) GREAT(0.65) PT_DEM3(0.64) PT_LOC(0.56) RIGHT(0.56) OKAY(0.54) NS_SALLY(0.53) ONE(0.52) YES(0.49) OK(0.48),YES,False
video_6_40_signer_YES_1,HELLO BYE NS_SALLY EVERYONE COME THANK-YOU,HELLO(0.84) BYE(0.76) NS_SALLY(0.71) EVERYONE(0.53) COME(0.52) THANK-YOU(0.49),YES,False
video_6_86_signer_YES_1,YES WHAT PT_DEM3 PT_PRO2 OKAY CAN RIGHT NS_SALLY GREAT LOOK PT_PRO3 OK WANT PT_PRO1 GO,YES(0.67) WHAT(0.64) PT_DEM3(0.61) PT_PRO2(0.60) OKAY(0.59) CAN(0.56) RIGHT(0.55) NS_SALLY(0.55) GREAT(0.54) LOOK(0.51) PT_PRO3(0.50) OK(0.48) WANT(0.47) PT_PRO1(0.46) GO(0.46),YES,False
video_6_90_signer_YES_1,GREAT YES RIGHT PT_DEM3 GOOD OK WHAT NOW LOOK OKAY,GREAT(0.86) YES(0.73) RIGHT(0.72) PT_DEM3(0.67) GOOD(0.60) OK(0.60) WHAT(0.56) NOW(0.48) LOOK(0.46) OKAY(0.45),YES,False
video_6_92_signer_YES_1,OKAY OK RIGHT YES LOOK GREAT NS_SALLY,OKAY(0.68) OK(0.65) RIGHT(0.64) YES(0.58) LOOK(0.56) GREAT(0.54) NS_SALLY(0.48),YES,False
video_6_116_signer_YES_1,LOOK BYE PT_LOC HELLO,LOOK(0.81) BYE(0.75) PT_LOC(0.53) HELLO(0.53),YES,False
video_6_124_signer_YES_1,YES RIGHT LOOK GREAT PT_DEM3 WHAT NS_POSSUM OKAY NO PT_LOC,YES(0.80) RIGHT(0.70) LOOK(0.67) GREAT(0.66) PT_DEM3(0.62) WHAT(0.59) NS_POSSUM(0.53) OKAY(0.52) NO(0.48) PT_LOC(0.47),YES,False
video_7_48_signer_YES_1,GREAT YES OK OKAY RIGHT WATCH GOOD WHAT,GREAT(0.91) YES(0.85) OK(0.74) OKAY(0.73) RIGHT(0.72) WATCH(0.53) GOOD(0.52) WHAT(0.45),YES,False
video_7_55_signer_YES_1,WHAT YES WANT PT_PRO2 CAN PT_PRO3 DO RIGHT PT_PRO1 GO PT_DEM3 NS_POSSUM,WHAT(0.72) YES(0.68) WANT(0.64) PT_PRO2(0.64) CAN(0.62) PT_PRO3(0.60) DO(0.59) RIGHT(0.57) PT_PRO1(0.56) GO(0.54) PT_DEM3(0.53) NS_POSSUM(0.50),YES,False
video_7_71_signer_YES_1,YES GREAT RIGHT PT_DEM3 GOOD LOOK WHAT,YES(0.90) GREAT(0.89) RIGHT(0.83) PT_DEM3(0.65) GOOD(0.61) LOOK(0.60) WHAT(0.57),YES,False
video_8_41_signer_YES_1,GREAT LOOK OKAY PT_DEM3 RIGHT WHAT YES OK PT_LOC,GREAT(0.85) LOOK(0.77) OKAY(0.75) PT_DEM3(0.69) RIGHT(0.64) WHAT(0.61) YES(0.60) OK(0.56) PT_LOC(0.54),YES,False
video_9_27_signer_YES_1,NS_POSSUM PT_PRO2 YES PT_PRO3 WHAT WANT RIGHT GO DO CAN INSIDE PT_DEM3 THINK LOVELY PT_PRO1 LIKE,NS_POSSUM(0.83) PT_PRO2(0.79) YES(0.79) PT_PRO3(0.70) WHAT(0.68) WANT(0.67) RIGHT(0.66) GO(0.63) DO(0.58) CAN(0.55) INSIDE(0.54) PT_DEM3(0.53) THINK(0.52) LOVELY(0.48) PT_PRO1(0.46) LIKE(0.46),YES,False
video_9_59_signer_YES_1,GREAT YES LOOK GOOD PT_DEM3 RIGHT,GREAT(0.90) YES(0.76) LOOK(0.68) GOOD(0.68) PT_DEM3(0.61) RIGHT(0.53),YES,False
