clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_8_82_signer_TIME_1,PT_POSS1 COME LOOK PT_PRO2 NS_SALLY NOW PT_DEM3 READY SEE NS_POSSUM GO PT_PRO1PL PT_PRO1 KNOW CAN FINISH,PT_POSS1(0.80) COME(0.71) LOOK(0.70) PT_PRO2(0.67) NS_SALLY(0.56) NOW(0.56) PT_DEM3(0.55) READY(0.55) SEE(0.53) NS_POSSUM(0.52) GO(0.50) PT_PRO1PL(0.49) PT_PRO1(0.49) KNOW(0.48) CAN(0.48) FINISH(0.46),TIME,False
video_9_95_signer_TIME_1,PT_POSS1 NS_SALLY BYE,PT_POSS1(0.74) NS_SALLY(0.74) BYE(0.55),TIME,False
video_10_141_signer_TIME_1,LOOK BYE HELLO,LOOK(0.76) BYE(0.67) HELLO(0.49),TIME,False
video_11_67_signer_TIME_1,LOOK,LOOK(0.94),TIME,False
video_11_124_signer_TIME_1,GREAT NS_POSSUM YES LOOK,GREAT(0.62) NS_POSSUM(0.54) YES(0.53) LOOK(0.50),TIME,False
video_12_115_signer_TIME_1,LOOK,LOOK(0.89),TIME,False
video_13_154_signer_TIME_1,BYE HELLO NS_POSSUM UP LOOK OKAY GREAT GO,BYE(0.85) HELLO(0.70) NS_POSSUM(0.62) UP(0.59) LOOK(0.50) OKAY(0.49) GREAT(0.48) GO(0.47),TIME,False
video_14_48_signer_TIME_1,YES RIGHT GOOD GREAT READY PT_DEM3 WHAT LOOK,YES(0.87) RIGHT(0.71) GOOD(0.71) GREAT(0.63) READY(0.61) PT_DEM3(0.59) WHAT(0.56) LOOK(0.48),TIME,False
video_14_131_signer_TIME_1,LOOK,LOOK(0.92),TIME,False
video_15_144_signer_TIME_1,HELLO BYE NS_POSSUM NS_SALLY EVERYONE LOOK,HELLO(0.89) BYE(0.79) NS_POSSUM(0.65) NS_SALLY(0.55) EVERYONE(0.49) LOOK(0.48),TIME,False
video_16_189_signer_TIME_1,BYE LOOK,BYE(0.89) LOOK(0.59),TIME,False
video_17_56_signer_TIME_1,BYE PT_PRO1PL YES FINISH GO GOOD LOOK,BYE(0.78) PT_PRO1PL(0.71) YES(0.61) FINISH(0.56) GO(0.53) GOOD(0.48) LOOK(0.45),TIME,False
video_17_136_signer_TIME_1,PT_POSS1 NS_SALLY EVERYONE BYE NS_POSSUM PT_PRO1 HELLO YES KNOW PT_DEM3 FINISH THINK PT_LOC,PT_POSS1(0.79) NS_SALLY(0.74) EVERYONE(0.69) BYE(0.67) NS_POSSUM(0.60) PT_PRO1(0.56) HELLO(0.56) YES(0.56) KNOW(0.53) PT_DEM3(0.50) FINISH(0.49) THINK(0.49) PT_LOC(0.47),TIME,False
video_18_167_signer_TIME_1,PT_PRO1PL FINISH GO READY BYE GOOD YES LOOK KNOW,PT_PRO1PL(0.65) FINISH(0.64) GO(0.61) READY(0.60) BYE(0.59) GOOD(0.57) YES(0.51) LOOK(0.49) KNOW(0.47),TIME,False
video_19_180_signer_TIME_1,PT_PRO1 THINK NS_SALLY PT_POSS1 CAN NS_POSSUM WHAT MAKE KNOW PT_PRO2 HAVE PT_PRO3 VERY YES GO PT_DEM3,PT_PRO1(0.76) THINK(0.76) NS_SALLY(0.73) PT_POSS1(0.68) CAN(0.66) NS_POSSUM(0.66) WHAT(0.65) MAKE(0.64) KNOW(0.64) PT_PRO2(0.58) HAVE(0.56) PT_PRO3(0.54) VERY(0.53) YES(0.52) GO(0.47) PT_DEM3(0.45),TIME,False
video_20_140_signer_TIME_1,YES LOOK PT_PRO1PL GO GOOD READY,YES(0.57) LOOK(0.51) PT_PRO1PL(0.50) GO(0.50) GOOD(0.48) READY(0.45),TIME,False
video_21_185_signer_TIME_1,LOOK,LOOK(0.99),TIME,False
video_22_33_signer_TIME_1,BYE PT_PRO1PL FINISH GREAT YES GO GOOD,BYE(0.67) PT_PRO1PL(0.61) FINISH(0.54) GREAT(0.54) YES(0.53) GO(0.52) GOOD(0.45),TIME,False
video_22_218_signer_TIME_1,LOOK,LOOK(0.99),TIME,False
video_23_153_signer_TIME_1,GO PT_PRO1PL YES GREAT GOOD LOOK OKAY NS_POSSUM,GO(0.57) PT_PRO1PL(0.56) YES(0.51) GREAT(0.50) GOOD(0.50) LOOK(0.49) OKAY(0.48) NS_POSSUM(0.48),TIME,False
video_24_10_signer_TIME_1,READY PT_PRO1PL FINISH GOOD YES GO PT_DEM3 LOOK KNOW,READY(0.67) PT_PRO1PL(0.64) FINISH(0.60) GOOD(0.58) YES(0.56) GO(0.50) PT_DEM3(0.49) LOOK(0.46) KNOW(0.45),TIME,False
video_24_161_signer_TIME_1,BYE YES PT_PRO1PL GO GREAT,BYE(0.76) YES(0.63) PT_PRO1PL(0.54) GO(0.51) GREAT(0.47),TIME,False
video_25_128_signer_TIME_1,FINISH BYE YES GOOD HELLO,FINISH(0.57) BYE(0.56) YES(0.55) GOOD(0.53) HELLO(0.48),TIME,False
video_26_35_signer_TIME_1,LOOK,LOOK(0.99),TIME,False
video_26_37_signer_TIME_1,PT_PRO1 YES KNOW WHAT NS_SALLY PT_PRO3 THINK CAN RIGHT,PT_PRO1(0.74) YES(0.73) KNOW(0.65) WHAT(0.64) NS_SALLY(0.64) PT_PRO3(0.55) THINK(0.53) CAN(0.49) RIGHT(0.49),TIME,False
video_26_73_signer_TIME_1,PT_PRO1PL YES GO READY LOOK GOOD KNOW FINISH,PT_PRO1PL(0.64) YES(0.61) GO(0.59) READY(0.54) LOOK(0.53) GOOD(0.52) KNOW(0.51) FINISH(0.46),TIME,False
video_26_144_signer_TIME_1,BYE PT_PRO1PL GO OKAY FINISH LOOK,BYE(0.81) PT_PRO1PL(0.59) GO(0.55) OKAY(0.53) FINISH(0.51) LOOK(0.47),TIME,False
video_27_157_signer_TIME_1,BYE YES FINISH PT_PRO1PL UP GREAT GO EVERYONE HELLO,BYE(0.75) YES(0.56) FINISH(0.56) PT_PRO1PL(0.54) UP(0.51) GREAT(0.51) GO(0.51) EVERYONE(0.50) HELLO(0.47),TIME,False
video_28_108_signer_TIME_1,NEXT YES READY WHAT GOOD NS_SALLY FINISH BYE LOOK,NEXT(0.72) YES(0.69) READY(0.58) WHAT(0.55) GOOD(0.54) NS_SALLY(0.54) FINISH(0.52) BYE(0.51) LOOK(0.46),TIME,False
video_28_171_signer_TIME_1,LOOK BYE,LOOK(0.71) BYE(0.64),TIME,False
video_29_207_signer_TIME_1,BYE NS_POSSUM FINISH GO PT_PRO1PL GOOD PT_PRO2,BYE(0.65) NS_POSSUM(0.62) FINISH(0.55) GO(0.52) PT_PRO1PL(0.52) GOOD(0.49) PT_PRO2(0.47),TIME,False
video_30_204_signer_TIME_1,WHAT NS_SALLY PT_DEM3 YES GOOD KNOW LOOK PT_PRO1,WHAT(0.76) NS_SALLY(0.68) PT_DEM3(0.61) YES(0.59) GOOD(0.53) KNOW(0.52) LOOK(0.48) PT_PRO1(0.45),TIME,False
video_31_127_signer_TIME_1,NS_SALLY YES WHAT HELLO LOOK PT_DEM3 VERY GOOD,NS_SALLY(0.86) YES(0.72) WHAT(0.59) HELLO(0.54) LOOK(0.54) PT_DEM3(0.51) VERY(0.50) GOOD(0.48),TIME,False
video_31_140_signer_TIME_1,LOOK PT_POSS1 CAN COME PT_PRO2 MAKE PT_PRO1 GOOD,LOOK(0.72) PT_POSS1(0.66) CAN(0.65) COME(0.64) PT_PRO2(0.63) MAKE(0.59) PT_PRO1(0.58) GOOD(0.45),TIME,False
video_32_162_signer_TIME_1,GOOD GO FINISH PT_PRO1PL NS_POSSUM PT_PRO3PL,GOOD(0.58) GO(0.58) FINISH(0.57) PT_PRO1PL(0.57) NS_POSSUM(0.55) PT_PRO3PL(0.46),TIME,False
video_33_162_signer_TIME_1,BYE HELLO OKAY EVERYONE GO PT_PRO1PL,BYE(0.90) HELLO(0.68) OKAY(0.57) EVERYONE(0.52) GO(0.46) PT_PRO1PL(0.46),TIME,False
video_34_160_signer_TIME_1,LOOK BYE,LOOK(0.86) BYE(0.57),TIME,False
video_35_160_signer_TIME_1,BYE HELLO PT_PRO1PL GO,BYE(0.92) HELLO(0.56) PT_PRO1PL(0.46) GO(0.46),TIME,False
video_36_223_signer_TIME_1,GOOD WHAT LOOK NOW PT_DEM3 FINISH MAKE READY YES MEAN PT_POSS1 NS_POSSUM PT_PRO1,GOOD(0.64) WHAT(0.64) LOOK(0.59) NOW(0.55) PT_DEM3(0.54) FINISH(0.50) MAKE(0.50) READY(0.49) YES(0.48) MEAN(0.48) PT_POSS1(0.48) NS_POSSUM(0.48) PT_PRO1(0.47),TIME,False
video_38_138_signer_TIME_1,BYE GO PT_PRO1PL HELLO,BYE(0.79) GO(0.54) PT_PRO1PL(0.51) HELLO(0.46),TIME,False
video_1_91_signer_KNOW_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.88) EVERYONE(0.79) HELLO(0.79) NS_POSSUM(0.60),KNOW,False
video_2_69_signer_KNOW_1,NS_POSSUM CAN PT_PRO2 DO PT_DEM3 THINK YES KNOW WHAT PT_PRO3 PT_PRO1 BYE,NS_POSSUM(0.73) CAN(0.68) PT_PRO2(0.67) DO(0.61) PT_DEM3(0.60) THINK(0.60) YES(0.57) KNOW(0.54) WHAT(0.53) PT_PRO3(0.52) PT_PRO1(0.52) BYE(0.46),KNOW,False
video_3_118_signer_KNOW_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.90) EVERYONE(0.67) HELLO(0.63) NS_POSSUM(0.62),KNOW,False
video_7_28_signer_KNOW_1,NS_POSSUM BYE HELLO EVERYONE YES,NS_POSSUM(0.75) BYE(0.70) HELLO(0.63) EVERYONE(0.55) YES(0.46),KNOW,False
video_7_84_signer_KNOW_1,YES NS_POSSUM GREAT PT_DEM3 RIGHT,YES(0.73) NS_POSSUM(0.70) GREAT(0.68) PT_DEM3(0.55) RIGHT(0.50),KNOW,False
video_8_30_signer_KNOW_1,BYE,BYE(0.91),KNOW,False
video_10_51_signer_KNOW_1,BYE HELLO EVERYONE NS_POSSUM,BYE(0.97) HELLO(0.92) EVERYONE(0.80) NS_POSSUM(0.62),KNOW,False
video_10_119_signer_KNOW_1,BYE NS_POSSUM HELLO EVERYONE,BYE(0.79) NS_POSSUM(0.70) HELLO(0.63) EVERYONE(0.48),KNOW,False
video_11_77_signer_KNOW_1,BYE HELLO NS_POSSUM EVERYONE,BYE(0.88) HELLO(0.81) NS_POSSUM(0.69) EVERYONE(0.63),KNOW,False
video_12_20_signer_KNOW_1,HELLO BYE NS_POSSUM,HELLO(0.79) BYE(0.77) NS_POSSUM(0.67),KNOW,False
video_12_53_signer_KNOW_1,BYE HELLO EVERYONE NS_POSSUM,BYE(0.93) HELLO(0.82) EVERYONE(0.71) NS_POSSUM(0.63),KNOW,False
video_12_91_signer_KNOW_1,GREAT BYE HELLO YES OK EVERYONE,GREAT(0.63) BYE(0.63) HELLO(0.60) YES(0.59) OK(0.59) EVERYONE(0.52),KNOW,False
video_13_23_signer_KNOW_1,NS_POSSUM BYE HELLO YES,NS_POSSUM(0.85) BYE(0.74) HELLO(0.60) YES(0.45),KNOW,False
video_14_80_signer_KNOW_1,BYE NS_POSSUM HELLO EVERYONE,BYE(0.87) NS_POSSUM(0.82) HELLO(0.69) EVERYONE(0.50),KNOW,False
video_15_74_signer_KNOW_1,BYE HELLO NS_POSSUM EVERYONE,BYE(0.98) HELLO(0.97) NS_POSSUM(0.82) EVERYONE(0.58),KNOW,False
video_15_84_signer_KNOW_1,BYE NS_POSSUM HELLO,BYE(0.82) NS_POSSUM(0.81) HELLO(0.69),KNOW,False
video_16_15_signer_KNOW_1,NS_POSSUM BYE PT_PRO2 PT_DEM3 DO CAN WHAT YES,NS_POSSUM(0.77) BYE(0.62) PT_PRO2(0.61) PT_DEM3(0.59) DO(0.58) CAN(0.56) WHAT(0.52) YES(0.52),KNOW,False
video_16_37_signer_KNOW_1,BYE NS_POSSUM HELLO LOOK GO,BYE(0.78) NS_POSSUM(0.67) HELLO(0.65) LOOK(0.50) GO(0.46),KNOW,False
video_17_33_signer_KNOW_1,NS_POSSUM YES CAN WHAT DO HELLO PT_DEM3 PT_PRO2,NS_POSSUM(0.90) YES(0.65) CAN(0.59) WHAT(0.59) DO(0.58) HELLO(0.57) PT_DEM3(0.56) PT_PRO2(0.45),KNOW,False
video_19_24_signer_KNOW_1,NS_POSSUM BYE PT_DEM3 SEE PT_PRO1PL,NS_POSSUM(0.67) BYE(0.61) PT_DEM3(0.52) SEE(0.48) PT_PRO1PL(0.48),KNOW,False
video_19_65_signer_KNOW_1,LOOK,LOOK(0.92),KNOW,False
video_19_82_signer_KNOW_1,BYE LOOK,BYE(0.83) LOOK(0.47),KNOW,False
video_20_45_signer_KNOW_1,BYE EVERYONE HELLO NS_SALLY GREAT,BYE(0.93) EVERYONE(0.89) HELLO(0.87) NS_SALLY(0.56) GREAT(0.55),KNOW,False
video_20_77_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.92) HELLO(0.90) EVERYONE(0.80),KNOW,False
video_20_121_signer_KNOW_1,BYE HELLO NS_POSSUM EVERYONE,BYE(0.96) HELLO(0.71) NS_POSSUM(0.69) EVERYONE(0.45),KNOW,False
video_21_117_signer_KNOW_1,NS_POSSUM HELLO BYE YES GREAT,NS_POSSUM(0.72) HELLO(0.60) BYE(0.53) YES(0.52) GREAT(0.48),KNOW,False
video_21_151_signer_KNOW_1,BYE HELLO,BYE(0.96) HELLO(0.71),KNOW,False
video_22_15_signer_KNOW_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.88) EVERYONE(0.83) HELLO(0.77) NS_POSSUM(0.68),KNOW,False
video_22_47_signer_KNOW_1,BYE LOOK,BYE(0.89) LOOK(0.58),KNOW,False
video_22_75_signer_KNOW_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.90) EVERYONE(0.76) HELLO(0.59) NS_POSSUM(0.56),KNOW,False
video_22_88_signer_KNOW_1,LOOK,LOOK(0.90),KNOW,False
video_22_89_signer_KNOW_1,NS_POSSUM BYE YES HELLO PT_DEM3,NS_POSSUM(0.76) BYE(0.65) YES(0.57) HELLO(0.49) PT_DEM3(0.46),KNOW,False
video_22_96_signer_KNOW_1,BYE YES NS_POSSUM,BYE(0.89) YES(0.57) NS_POSSUM(0.51),KNOW,False
video_22_111_signer_KNOW_1,KNOW YES BYE PT_DEM3,KNOW(0.66) YES(0.61) BYE(0.51) PT_DEM3(0.46),KNOW,False
video_22_113_signer_KNOW_1,BYE EVERYONE,BYE(0.96) EVERYONE(0.45),KNOW,False
video_22_126_signer_KNOW_1,BYE HELLO NS_POSSUM,BYE(0.93) HELLO(0.71) NS_POSSUM(0.63),KNOW,False
video_22_152_signer_KNOW_1,BYE LOOK,BYE(0.91) LOOK(0.62),KNOW,False
video_22_159_signer_KNOW_1,BYE NS_POSSUM,BYE(0.90) NS_POSSUM(0.53),KNOW,False
video_23_30_signer_KNOW_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.92) EVERYONE(0.65) HELLO(0.62) NS_POSSUM(0.51),KNOW,False
video_23_34_signer_KNOW_1,BYE HELLO NS_POSSUM,BYE(0.96) HELLO(0.61) NS_POSSUM(0.58),KNOW,False
video_23_91_signer_KNOW_1,BYE HELLO NS_POSSUM EVERYONE,BYE(0.90) HELLO(0.85) NS_POSSUM(0.74) EVERYONE(0.54),KNOW,False
video_23_144_signer_KNOW_1,YES PT_DEM3 CAN KNOW WHAT NS_POSSUM,YES(0.83) PT_DEM3(0.71) CAN(0.69) KNOW(0.65) WHAT(0.62) NS_POSSUM(0.57),KNOW,False
video_24_73_signer_KNOW_1,BYE,BYE(0.96),KNOW,False
video_24_82_signer_KNOW_1,NS_POSSUM HELLO BYE,NS_POSSUM(0.82) HELLO(0.69) BYE(0.65),KNOW,False
video_24_150_signer_KNOW_1,BYE LOOK,BYE(0.94) LOOK(0.55),KNOW,False
video_25_111_signer_KNOW_1,NS_POSSUM PT_PRO2 CAN DO THINK PT_DEM3 KNOW PT_PRO3 PT_PRO1 WHAT YES BYE,NS_POSSUM(0.70) PT_PRO2(0.69) CAN(0.65) DO(0.64) THINK(0.62) PT_DEM3(0.60) KNOW(0.58) PT_PRO3(0.55) PT_PRO1(0.53) WHAT(0.52) YES(0.52) BYE(0.45),KNOW,False
video_26_20_signer_KNOW_1,NS_SALLY KNOW YES PT_PRO1 WHAT PT_DEM3 GO READY,NS_SALLY(0.81) KNOW(0.76) YES(0.72) PT_PRO1(0.70) WHAT(0.56) PT_DEM3(0.52) GO(0.47) READY(0.46),KNOW,False
video_26_25_signer_KNOW_1,LOOK,LOOK(0.98),KNOW,False
video_26_36_signer_KNOW_1,LOOK BYE,LOOK(0.91) BYE(0.71),KNOW,False
video_27_21_signer_KNOW_1,KNOW YES NS_POSSUM PT_DEM3 GREAT PT_PRO1 CAN WHAT PT_PRO3 RIGHT,KNOW(0.79) YES(0.76) NS_POSSUM(0.64) PT_DEM3(0.60) GREAT(0.60) PT_PRO1(0.57) CAN(0.56) WHAT(0.48) PT_PRO3(0.48) RIGHT(0.46),KNOW,False
video_28_76_signer_KNOW_1,NS_POSSUM CAN PT_DEM3 DO YES KNOW THINK PT_PRO2 WHAT EVERYONE PT_PRO3 PT_PRO1 HELLO,NS_POSSUM(0.80) CAN(0.78) PT_DEM3(0.73) DO(0.71) YES(0.68) KNOW(0.67) THINK(0.66) PT_PRO2(0.63) WHAT(0.61) EVERYONE(0.60) PT_PRO3(0.52) PT_PRO1(0.51) HELLO(0.50),KNOW,False
video_28_115_signer_KNOW_1,LOOK BYE,LOOK(0.94) BYE(0.65),KNOW,False
video_30_17_signer_KNOW_1,YES NS_POSSUM CAN PT_DEM3 WHAT KNOW DO,YES(0.82) NS_POSSUM(0.78) CAN(0.75) PT_DEM3(0.70) WHAT(0.62) KNOW(0.58) DO(0.48),KNOW,False
video_1_47_signer_YES_1,NS_SALLY LOOK YES GREAT PT_DEM3 GOOD WHAT,NS_SALLY(0.87) LOOK(0.75) YES(0.75) GREAT(0.74) PT_DEM3(0.64) GOOD(0.51) WHAT(0.50),YES,False
video_1_54_signer_YES_1,PT_PRO1PL GOOD FINISH YES READY BYE LOOK NEXT GO,PT_PRO1PL(0.66) GOOD(0.65) FINISH(0.61) YES(0.60) READY(0.59) BYE(0.55) LOOK(0.53) NEXT(0.47) GO(0.46),YES,False
video_1_77_signer_YES_1,YES GREAT LOOK RIGHT,YES(0.85) GREAT(0.69) LOOK(0.52) RIGHT(0.46),YES,False
video_2_71_signer_YES_1,YES GREAT LOOK NS_SALLY RIGHT PT_DEM3 WHAT GOOD,YES(0.82) GREAT(0.78) LOOK(0.70) NS_SALLY(0.68) RIGHT(0.59) PT_DEM3(0.57) WHAT(0.51) GOOD(0.45),YES,False
video_2_80_signer_YES_1,YES GREAT GOOD RIGHT LOOK PT_DEM3 WHAT,YES(0.84) GREAT(0.66) GOOD(0.64) RIGHT(0.62) LOOK(0.55) PT_DEM3(0.54) WHAT(0.52),YES,False
video_2_100_signer_YES_1,YES RIGHT WHAT GOOD LOOK GREAT PT_DEM3,YES(0.91) RIGHT(0.64) WHAT(0.62) GOOD(0.55) LOOK(0.50) GREAT(0.50) PT_DEM3(0.49),YES,False
