clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_7_104_signer_READY_1,WATCH GREAT SEE YES THANK-YOU OKAY GO GOOD OK LOOK RIGHT,WATCH(0.87) GREAT(0.84) SEE(0.68) YES(0.60) THANK-YOU(0.57) OKAY(0.56) GO(0.51) GOOD(0.49) OK(0.49) LOOK(0.48) RIGHT(0.46),READY,False
video_7_119_signer_READY_1,GREAT YES LOOK OKAY NS_SALLY RIGHT OK,GREAT(0.75) YES(0.61) LOOK(0.61) OKAY(0.56) NS_SALLY(0.55) RIGHT(0.54) OK(0.50),READY,False
video_10_29_signer_READY_1,OKAY WATCH OK YES GREAT LOOK PT_PRO1PL RIGHT GO,OKAY(0.81) WATCH(0.79) OK(0.75) YES(0.70) GREAT(0.59) LOOK(0.57) PT_PRO1PL(0.56) RIGHT(0.46) GO(0.45),READY,False
video_10_95_signer_READY_1,GREAT LOOK YES RIGHT OK OKAY PT_DEM3 NS_SALLY THANK-YOU,GREAT(0.75) LOOK(0.72) YES(0.68) RIGHT(0.62) OK(0.60) OKAY(0.59) PT_DEM3(0.57) NS_SALLY(0.52) THANK-YOU(0.47),READY,False
video_11_70_signer_READY_1,GREAT YES GOOD OK WATCH RIGHT OKAY PT_DEM3 LOOK WHAT,GREAT(0.89) YES(0.66) GOOD(0.64) OK(0.61) WATCH(0.57) RIGHT(0.56) OKAY(0.52) PT_DEM3(0.52) LOOK(0.47) WHAT(0.45),READY,False
video_1_88_signer_FINISH_1,GREAT NS_SALLY LOOK OKAY YES,GREAT(0.68) NS_SALLY(0.59) LOOK(0.50) OKAY(0.50) YES(0.50),FINISH,False
video_1_91_signer_KNOW_1,YES LOOK RIGHT BYE SEE PT_PRO1PL KNOW GO OKAY WATCH PT_PRO2,YES(0.78) LOOK(0.70) RIGHT(0.61) BYE(0.60) SEE(0.59) PT_PRO1PL(0.55) KNOW(0.54) GO(0.52) OKAY(0.50) WATCH(0.46) PT_PRO2(0.45),KNOW,False
video_2_69_signer_KNOW_1,SEE PT_PRO1PL KNOW GO LOOK YES PT_PRO2 WATCH CAN COME PT_PRO1 NS_SKIP,SEE(0.72) PT_PRO1PL(0.72) KNOW(0.63) GO(0.63) LOOK(0.60) YES(0.59) PT_PRO2(0.59) WATCH(0.53) CAN(0.51) COME(0.51) PT_PRO1(0.47) NS_SKIP(0.47),KNOW,False
video_3_118_signer_KNOW_1,LOOK SEE NS_SKIP COME GO PT_LOC CAN PT_PRO2 PT_PRO1 PT_DEM3,LOOK(0.79) SEE(0.72) NS_SKIP(0.66) COME(0.58) GO(0.57) PT_LOC(0.55) CAN(0.52) PT_PRO2(0.52) PT_PRO1(0.49) PT_DEM3(0.47),KNOW,False
video_7_28_signer_KNOW_1,SEE PT_PRO1PL KNOW YES WATCH LOOK GO COME PT_PRO2 CAN THANK-YOU,SEE(0.78) PT_PRO1PL(0.75) KNOW(0.70) YES(0.61) WATCH(0.61) LOOK(0.58) GO(0.57) COME(0.56) PT_PRO2(0.55) CAN(0.47) THANK-YOU(0.46),KNOW,False
video_7_84_signer_KNOW_1,GREAT YES NO RIGHT PT_DEM3 WHAT GOOD LOOK NS_POSSUM,GREAT(0.76) YES(0.76) NO(0.73) RIGHT(0.65) PT_DEM3(0.59) WHAT(0.58) GOOD(0.56) LOOK(0.56) NS_POSSUM(0.54),KNOW,False
video_8_30_signer_KNOW_1,BYE HELLO NS_POSSUM,BYE(0.97) HELLO(0.84) NS_POSSUM(0.54),KNOW,False
video_10_51_signer_KNOW_1,BYE HELLO,BYE(1.00) HELLO(0.96),KNOW,False
video_10_119_signer_KNOW_1,BYE YES GREAT LOOK OKAY RIGHT HELLO,BYE(0.67) YES(0.66) GREAT(0.66) LOOK(0.62) OKAY(0.62) RIGHT(0.54) HELLO(0.48),KNOW,False
video_11_77_signer_KNOW_1,BYE KNOW PT_PRO1PL YES LOOK SEE RIGHT HELLO GO WATCH NS_SKIP EVERYONE,BYE(0.94) KNOW(0.68) PT_PRO1PL(0.67) YES(0.64) LOOK(0.63) SEE(0.62) RIGHT(0.59) HELLO(0.56) GO(0.51) WATCH(0.50) NS_SKIP(0.49) EVERYONE(0.47),KNOW,False
video_12_20_signer_KNOW_1,KNOW NS_POSSUM YES SEE GO RIGHT PT_PRO3 LOOK BYE HELLO PT_PRO1 EVERYONE PT_PRO1PL,KNOW(0.65) NS_POSSUM(0.62) YES(0.60) SEE(0.55) GO(0.54) RIGHT(0.52) PT_PRO3(0.52) LOOK(0.52) BYE(0.50) HELLO(0.48) PT_PRO1(0.46) EVERYONE(0.45) PT_PRO1PL(0.45),KNOW,False
video_12_53_signer_KNOW_1,YES SEE PT_PRO1PL LOOK GO KNOW PT_PRO2 PT_PRO3 COME RIGHT BYE PT_PRO1 OKAY,YES(0.73) SEE(0.69) PT_PRO1PL(0.67) LOOK(0.65) GO(0.64) KNOW(0.61) PT_PRO2(0.55) PT_PRO3(0.53) COME(0.51) RIGHT(0.51) BYE(0.47) PT_PRO1(0.46) OKAY(0.45),KNOW,False
video_12_91_signer_KNOW_1,YES NS_POSSUM SEE PT_PRO2 LOOK KNOW,YES(0.82) NS_POSSUM(0.75) SEE(0.62) PT_PRO2(0.58) LOOK(0.58) KNOW(0.49),KNOW,False
video_13_23_signer_KNOW_1,BYE HELLO LOOK,BYE(0.91) HELLO(0.59) LOOK(0.50),KNOW,False
video_14_80_signer_KNOW_1,BYE HELLO,BYE(0.93) HELLO(0.63),KNOW,False
video_15_74_signer_KNOW_1,BYE TWO ONE HELLO NS_POSSUM,BYE(0.97) TWO(0.96) ONE(0.93) HELLO(0.90) NS_POSSUM(0.60),KNOW,False
video_15_84_signer_KNOW_1,HELLO BYE NS_POSSUM,HELLO(1.00) BYE(1.00) NS_POSSUM(0.92),KNOW,False
video_16_15_signer_KNOW_1,SEE PT_PRO1PL PT_PRO3 COME CAN KNOW HAVE PT_PRO2 GO YES LOOK NS_POSSUM PT_PRO1 NOW WILL PT_DEM3 THANK-YOU,SEE(0.78) PT_PRO1PL(0.70) PT_PRO3(0.69) COME(0.65) CAN(0.63) KNOW(0.63) HAVE(0.62) PT_PRO2(0.59) GO(0.57) YES(0.57) LOOK(0.53) NS_POSSUM(0.50) PT_PRO1(0.49) NOW(0.47) WILL(0.47) PT_DEM3(0.46) THANK-YOU(0.45),KNOW,False
video_16_37_signer_KNOW_1,PT_PRO1PL LOOK SEE GO YES KNOW NS_SKIP PT_PRO1 OKAY COME BYE,PT_PRO1PL(0.79) LOOK(0.77) SEE(0.77) GO(0.75) YES(0.73) KNOW(0.66) NS_SKIP(0.62) PT_PRO1(0.61) OKAY(0.53) COME(0.52) BYE(0.51),KNOW,False
video_17_33_signer_KNOW_1,BYE YES RIGHT HELLO LOOK NS_POSSUM PT_PRO1PL THANK-YOU,BYE(0.80) YES(0.59) RIGHT(0.57) HELLO(0.55) LOOK(0.50) NS_POSSUM(0.48) PT_PRO1PL(0.47) THANK-YOU(0.46),KNOW,False
video_19_24_signer_KNOW_1,BYE WATCH PT_PRO1PL OKAY YES LOOK GO KNOW SEE NS_SKIP OK,BYE(0.83) WATCH(0.79) PT_PRO1PL(0.77) OKAY(0.70) YES(0.69) LOOK(0.69) GO(0.66) KNOW(0.63) SEE(0.62) NS_SKIP(0.58) OK(0.46),KNOW,False
video_19_65_signer_KNOW_1,LOOK,LOOK(1.00),KNOW,False
video_19_82_signer_KNOW_1,BYE LOOK OKAY,BYE(0.95) LOOK(0.80) OKAY(0.57),KNOW,False
video_20_45_signer_KNOW_1,LOOK YES GREAT HELLO PT_PRO3 WHAT NS_POSSUM PT_DEM3 KNOW,LOOK(0.72) YES(0.67) GREAT(0.66) HELLO(0.65) PT_PRO3(0.56) WHAT(0.53) NS_POSSUM(0.52) PT_DEM3(0.50) KNOW(0.45),KNOW,False
video_20_77_signer_KNOW_1,YES SEE RIGHT KNOW LOOK NS_POSSUM PT_PRO1PL PT_PRO2 PT_PRO3 WATCH GO PT_DEM3,YES(0.76) SEE(0.61) RIGHT(0.61) KNOW(0.57) LOOK(0.55) NS_POSSUM(0.52) PT_PRO1PL(0.52) PT_PRO2(0.51) PT_PRO3(0.50) WATCH(0.48) GO(0.48) PT_DEM3(0.45),KNOW,False
video_20_121_signer_KNOW_1,BYE LOOK HELLO,BYE(0.99) LOOK(0.54) HELLO(0.53),KNOW,False
video_21_117_signer_KNOW_1,YES RIGHT SEE KNOW NS_POSSUM PT_PRO1PL PT_PRO3 WATCH GO LOOK GREAT,YES(0.76) RIGHT(0.64) SEE(0.60) KNOW(0.58) NS_POSSUM(0.55) PT_PRO1PL(0.54) PT_PRO3(0.51) WATCH(0.51) GO(0.49) LOOK(0.49) GREAT(0.47),KNOW,False
video_21_151_signer_KNOW_1,BYE,BYE(0.98),KNOW,False
video_22_15_signer_KNOW_1,BYE LOOK SEE HELLO NS_SKIP,BYE(0.93) LOOK(0.67) SEE(0.58) HELLO(0.56) NS_SKIP(0.54),KNOW,False
video_22_47_signer_KNOW_1,BYE LOOK,BYE(0.98) LOOK(0.96),KNOW,False
video_22_75_signer_KNOW_1,BYE LOOK NS_SKIP GO PT_PRO1PL OKAY SEE COME,BYE(0.73) LOOK(0.70) NS_SKIP(0.63) GO(0.56) PT_PRO1PL(0.48) OKAY(0.47) SEE(0.46) COME(0.46),KNOW,False
video_22_88_signer_KNOW_1,BYE LOOK OKAY,BYE(0.90) LOOK(0.61) OKAY(0.48),KNOW,False
video_22_89_signer_KNOW_1,BYE LOOK SEE PT_PRO1PL YES NS_SKIP OKAY GO,BYE(0.88) LOOK(0.66) SEE(0.57) PT_PRO1PL(0.51) YES(0.50) NS_SKIP(0.50) OKAY(0.47) GO(0.45),KNOW,False
video_22_96_signer_KNOW_1,BYE YES LOOK OKAY PT_PRO1PL WATCH NS_SKIP RIGHT GO,BYE(0.94) YES(0.77) LOOK(0.76) OKAY(0.66) PT_PRO1PL(0.64) WATCH(0.62) NS_SKIP(0.60) RIGHT(0.58) GO(0.52),KNOW,False
video_22_111_signer_KNOW_1,WATCH OKAY YES PT_PRO1PL OK GO LOOK KNOW,WATCH(0.93) OKAY(0.77) YES(0.72) PT_PRO1PL(0.60) OK(0.59) GO(0.56) LOOK(0.55) KNOW(0.48),KNOW,False
video_22_113_signer_KNOW_1,BYE LOOK HELLO NS_SKIP PT_LOC SEE NS_POSSUM OKAY PT_DEM3 COME,BYE(0.96) LOOK(0.79) HELLO(0.77) NS_SKIP(0.73) PT_LOC(0.68) SEE(0.60) NS_POSSUM(0.52) OKAY(0.49) PT_DEM3(0.46) COME(0.45),KNOW,False
video_22_126_signer_KNOW_1,BYE COME HELLO LOOK NS_SALLY NS_SKIP ONE,BYE(0.95) COME(0.73) HELLO(0.73) LOOK(0.58) NS_SALLY(0.58) NS_SKIP(0.57) ONE(0.46),KNOW,False
video_22_152_signer_KNOW_1,BYE HELLO,BYE(1.00) HELLO(0.95),KNOW,False
video_22_159_signer_KNOW_1,BYE PT_LOC LOOK NS_SKIP COME OKAY PT_DEM3 HELLO SEE ONE THANK-YOU,BYE(0.92) PT_LOC(0.72) LOOK(0.72) NS_SKIP(0.65) COME(0.61) OKAY(0.58) PT_DEM3(0.55) HELLO(0.53) SEE(0.52) ONE(0.50) THANK-YOU(0.47),KNOW,False
video_23_30_signer_KNOW_1,SEE PT_PRO1PL LOOK KNOW WATCH GO YES NS_SKIP,SEE(0.87) PT_PRO1PL(0.77) LOOK(0.76) KNOW(0.75) WATCH(0.64) GO(0.63) YES(0.63) NS_SKIP(0.46),KNOW,False
video_23_34_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.93) HELLO(0.75) EVERYONE(0.60),KNOW,False
video_23_91_signer_KNOW_1,YES NS_POSSUM RIGHT PT_PRO3 LOOK PT_PRO2 SEE GREAT WHAT PT_DEM3 GO,YES(0.87) NS_POSSUM(0.77) RIGHT(0.67) PT_PRO3(0.65) LOOK(0.64) PT_PRO2(0.61) SEE(0.60) GREAT(0.54) WHAT(0.49) PT_DEM3(0.46) GO(0.45),KNOW,False
video_23_144_signer_KNOW_1,YES KNOW LOOK RIGHT GREAT GO WATCH SEE,YES(0.79) KNOW(0.68) LOOK(0.59) RIGHT(0.59) GREAT(0.51) GO(0.50) WATCH(0.46) SEE(0.46),KNOW,False
video_24_73_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.94) EVERYONE(0.77),KNOW,False
video_24_82_signer_KNOW_1,SEE PT_PRO1PL YES LOOK COME THANK-YOU RIGHT KNOW WATCH PT_PRO3 BYE CAN HAVE PT_DEM3,SEE(0.74) PT_PRO1PL(0.70) YES(0.67) LOOK(0.65) COME(0.57) THANK-YOU(0.55) RIGHT(0.54) KNOW(0.49) WATCH(0.49) PT_PRO3(0.49) BYE(0.49) CAN(0.47) HAVE(0.47) PT_DEM3(0.45),KNOW,False
video_24_150_signer_KNOW_1,LOOK BYE,LOOK(0.98) BYE(0.89),KNOW,False
video_25_111_signer_KNOW_1,PT_PRO1PL SEE GO CAN PT_PRO2 KNOW COME PT_PRO3 PT_PRO1 HAVE NS_POSSUM YES LOOK NOW PT_POSS2,PT_PRO1PL(0.68) SEE(0.68) GO(0.67) CAN(0.64) PT_PRO2(0.63) KNOW(0.60) COME(0.59) PT_PRO3(0.59) PT_PRO1(0.57) HAVE(0.54) NS_POSSUM(0.50) YES(0.50) LOOK(0.48) NOW(0.48) PT_POSS2(0.46),KNOW,False
video_26_20_signer_KNOW_1,OKAY YES OK NS_SALLY GREAT RIGHT LOOK WATCH PT_DEM3,OKAY(0.92) YES(0.84) OK(0.73) NS_SALLY(0.65) GREAT(0.58) RIGHT(0.57) LOOK(0.52) WATCH(0.51) PT_DEM3(0.47),KNOW,False
video_26_25_signer_KNOW_1,OKAY YES WATCH LOOK OK RIGHT,OKAY(0.94) YES(0.92) WATCH(0.84) LOOK(0.71) OK(0.56) RIGHT(0.46),KNOW,False
video_26_36_signer_KNOW_1,BYE YES WATCH HELLO PT_PRO1PL LOOK OKAY RIGHT GO,BYE(0.82) YES(0.75) WATCH(0.71) HELLO(0.65) PT_PRO1PL(0.58) LOOK(0.58) OKAY(0.56) RIGHT(0.52) GO(0.49),KNOW,False
video_27_21_signer_KNOW_1,KNOW SEE PT_PRO2 CAN BUT NS_POSSUM HAVE PT_PRO1PL GO WHAT PT_PRO1 YES SOMETHING,KNOW(0.75) SEE(0.73) PT_PRO2(0.62) CAN(0.60) BUT(0.60) NS_POSSUM(0.58) HAVE(0.56) PT_PRO1PL(0.54) GO(0.52) WHAT(0.49) PT_PRO1(0.49) YES(0.48) SOMETHING(0.47),KNOW,False
video_28_76_signer_KNOW_1,PT_PRO1PL SEE KNOW WATCH GO YES PT_PRO1 COME PT_PRO2 PT_PRO3 CAN LOOK HAVE,PT_PRO1PL(0.74) SEE(0.74) KNOW(0.74) WATCH(0.67) GO(0.64) YES(0.60) PT_PRO1(0.59) COME(0.59) PT_PRO2(0.50) PT_PRO3(0.50) CAN(0.48) LOOK(0.45) HAVE(0.45),KNOW,False
video_28_115_signer_KNOW_1,LOOK,LOOK(1.00),KNOW,False
video_30_17_signer_KNOW_1,KNOW SEE YES LOOK RIGHT WATCH,KNOW(0.77) SEE(0.67) YES(0.59) LOOK(0.58) RIGHT(0.53) WATCH(0.48),KNOW,False
video_1_47_signer_YES_1,OKAY WATCH OK GREAT YES PT_PRO1PL NS_SALLY LOOK RIGHT PT_DEM3,OKAY(0.77) WATCH(0.72) OK(0.71) GREAT(0.63) YES(0.61) PT_PRO1PL(0.58) NS_SALLY(0.58) LOOK(0.51) RIGHT(0.51) PT_DEM3(0.46),YES,False
video_1_54_signer_YES_1,GREAT GOOD NO YES RIGHT OK PT_DEM3 LOOK,GREAT(0.95) GOOD(0.80) NO(0.73) YES(0.72) RIGHT(0.71) OK(0.67) PT_DEM3(0.57) LOOK(0.55),YES,False
video_1_77_signer_YES_1,YES GREAT RIGHT NS_POSSUM NO PT_DEM3 LOOK WHAT,YES(0.94) GREAT(0.84) RIGHT(0.81) NS_POSSUM(0.78) NO(0.73) PT_DEM3(0.64) LOOK(0.55) WHAT(0.52),YES,False
video_2_71_signer_YES_1,OKAY OK GREAT YES WATCH RIGHT LOOK,OKAY(0.98) OK(0.91) GREAT(0.87) YES(0.85) WATCH(0.68) RIGHT(0.62) LOOK(0.53),YES,False
video_2_80_signer_YES_1,YES PT_PRO2 GREAT RIGHT GO NS_POSSUM SEE NO PT_DEM3,YES(0.74) PT_PRO2(0.61) GREAT(0.61) RIGHT(0.58) GO(0.54) NS_POSSUM(0.54) SEE(0.54) NO(0.50) PT_DEM3(0.48),YES,False
video_2_100_signer_YES_1,YES GREAT RIGHT LOOK OKAY NO WATCH GOOD,YES(0.87) GREAT(0.83) RIGHT(0.71) LOOK(0.66) OKAY(0.66) NO(0.64) WATCH(0.63) GOOD(0.53),YES,False
video_2_118_signer_YES_1,NS_POSSUM PT_PRO2 THINK PT_PRO1 CAN PT_PRO3 GO MAKE HAVE KNOW BUT VERY PT_POSS2 WANT WHAT NOT,NS_POSSUM(0.71) PT_PRO2(0.69) THINK(0.69) PT_PRO1(0.68) CAN(0.67) PT_PRO3(0.64) GO(0.62) MAKE(0.61) HAVE(0.59) KNOW(0.58) BUT(0.56) VERY(0.51) PT_POSS2(0.50) WANT(0.50) WHAT(0.48) NOT(0.46),YES,False
video_2_126_signer_YES_1,HELLO BYE NS_SALLY NS_POSSUM WAIT EVERYONE,HELLO(0.91) BYE(0.72) NS_SALLY(0.70) NS_POSSUM(0.64) WAIT(0.53) EVERYONE(0.49),YES,False
video_3_66_signer_YES_1,BYE HELLO RIGHT YES,BYE(0.83) HELLO(0.71) RIGHT(0.56) YES(0.50),YES,False
video_3_70_signer_YES_1,GREAT YES RIGHT WHAT PT_DEM3 GOOD NO LOOK OK,GREAT(0.86) YES(0.86) RIGHT(0.77) WHAT(0.71) PT_DEM3(0.63) GOOD(0.61) NO(0.61) LOOK(0.56) OK(0.51),YES,False
video_3_82_signer_YES_1,WATCH PT_PRO1PL YES GO OKAY PT_PRO2 CAN LOOK KNOW SEE,WATCH(0.65) PT_PRO1PL(0.62) YES(0.61) GO(0.57) OKAY(0.49) PT_PRO2(0.49) CAN(0.47) LOOK(0.46) KNOW(0.45) SEE(0.45),YES,False
video_4_8_signer_YES_1,YES SEE LOOK WATCH RIGHT KNOW,YES(0.73) SEE(0.62) LOOK(0.59) WATCH(0.53) RIGHT(0.52) KNOW(0.49),YES,False
video_4_49_signer_YES_1,YES RIGHT PT_PRO1 WATCH PT_PRO1PL LOOK KNOW OK PT_DEM3 GO OKAY,YES(0.77) RIGHT(0.62) PT_PRO1(0.54) WATCH(0.53) PT_PRO1PL(0.52) LOOK(0.51) KNOW(0.50) OK(0.49) PT_DEM3(0.49) GO(0.46) OKAY(0.46),YES,False
video_4_53_signer_YES_1,BYE HELLO NS_POSSUM,BYE(0.99) HELLO(0.99) NS_POSSUM(0.75),YES,False
video_4_82_signer_YES_1,YES RIGHT WHAT GREAT PT_DEM3 GOOD LOOK NS_POSSUM,YES(0.91) RIGHT(0.84) WHAT(0.80) GREAT(0.79) PT_DEM3(0.69) GOOD(0.51) LOOK(0.48) NS_POSSUM(0.48),YES,False
video_4_84_signer_YES_1,OKAY YES OK GREAT WATCH RIGHT LOOK NS_SALLY,OKAY(0.92) YES(0.86) OK(0.78) GREAT(0.68) WATCH(0.67) RIGHT(0.64) LOOK(0.59) NS_SALLY(0.50),YES,False
video_4_95_signer_YES_1,BYE LOOK COME NS_SALLY NS_SKIP OKAY PT_LOC ONE RIGHT OK PT_DEM3 GREAT,BYE(0.72) LOOK(0.65) COME(0.62) NS_SALLY(0.59) NS_SKIP(0.57) OKAY(0.54) PT_LOC(0.52) ONE(0.49) RIGHT(0.48) OK(0.46) PT_DEM3(0.46) GREAT(0.46),YES,False
video_4_124_signer_YES_1,YES RIGHT LOOK SEE GREAT PT_PRO2 OKAY GO NS_POSSUM NO PT_DEM3,YES(0.87) RIGHT(0.68) LOOK(0.64) SEE(0.62) GREAT(0.62) PT_PRO2(0.62) OKAY(0.61) GO(0.60) NS_POSSUM(0.58) NO(0.51) PT_DEM3(0.45),YES,False
video_5_35_signer_YES_1,GREAT RIGHT NO GOOD YES PT_DEM3 OK WHAT LOOK,GREAT(0.95) RIGHT(0.82) NO(0.81) GOOD(0.79) YES(0.79) PT_DEM3(0.67) OK(0.62) WHAT(0.51) LOOK(0.51),YES,False
video_5_62_signer_YES_1,OKAY YES OK WATCH RIGHT GREAT LOOK,OKAY(0.96) YES(0.93) OK(0.89) WATCH(0.82) RIGHT(0.72) GREAT(0.69) LOOK(0.64),YES,False
video_5_81_signer_YES_1,LOOK WATCH YES,LOOK(0.98) WATCH(0.52) YES(0.49),YES,False
video_5_90_signer_YES_1,YES GREAT NO RIGHT NS_POSSUM PT_DEM3 WHAT,YES(0.83) GREAT(0.74) NO(0.74) RIGHT(0.69) NS_POSSUM(0.62) PT_DEM3(0.54) WHAT(0.49),YES,False
video_5_93_signer_YES_1,OKAY GREAT,OKAY(0.76) GREAT(0.64),YES,False
video_5_126_signer_YES_1,OKAY WATCH OK GREAT YES RIGHT PT_DEM3 PT_PRO1PL LOOK,OKAY(0.83) WATCH(0.77) OK(0.75) GREAT(0.72) YES(0.66) RIGHT(0.65) PT_DEM3(0.51) PT_PRO1PL(0.47) LOOK(0.45),YES,False
video_5_128_signer_YES_1,YES GREAT RIGHT PT_DEM3 WHAT WATCH,YES(0.93) GREAT(0.84) RIGHT(0.78) PT_DEM3(0.55) WHAT(0.49) WATCH(0.48),YES,False
video_6_30_signer_YES_1,NS_SALLY LOOK YES PT_DEM3 GREAT PT_PRO1PL RIGHT GO SEE PT_LOC THANK-YOU,NS_SALLY(0.72) LOOK(0.66) YES(0.61) PT_DEM3(0.56) GREAT(0.54) PT_PRO1PL(0.52) RIGHT(0.51) GO(0.51) SEE(0.50) PT_LOC(0.48) THANK-YOU(0.45),YES,False
video_6_40_signer_YES_1,HELLO BYE TWO ONE NS_POSSUM,HELLO(0.97) BYE(0.95) TWO(0.90) ONE(0.86) NS_POSSUM(0.72),YES,False
video_6_86_signer_YES_1,YES OKAY RIGHT LOOK OK WATCH GREAT,YES(0.87) OKAY(0.81) RIGHT(0.68) LOOK(0.66) OK(0.64) WATCH(0.58) GREAT(0.50),YES,False
video_6_90_signer_YES_1,GREAT YES RIGHT PT_DEM3 GOOD OK OKAY,GREAT(0.92) YES(0.69) RIGHT(0.66) PT_DEM3(0.62) GOOD(0.61) OK(0.57) OKAY(0.50),YES,False
